repository_name,date,clones,unique_visitors/cloners
github-stats,2022-09-10,55,18
github-stats,2022-09-11,67,24
github-stats,2022-09-12,68,23
github-stats,2022-09-13,67,24
github-stats,2022-09-14,66,24
github-stats,2022-09-15,69,24
github-stats,2022-09-16,66,23
github-stats,2022-09-17,74,25
github-stats,2022-09-18,66,24
github-stats,2022-09-19,66,23
github-stats,2022-09-20,66,22
github-stats,2022-09-21,66,23
github-stats,2022-09-22,70,25
github-stats,2022-09-23,67,25
github-stats,2022-09-24,15,7
